Ano,nivel_geografico,IdServicio_master,servicio_salud_master,IdComuna_master,comuna_master,profesional,proporcion_profesional_pct,sexo
2023,comuna,13,Servicio de Salud Metropolitano Sur,13402,Buin,Medico/a,0.6001745962461807,Mujer
2023,comuna,13,Servicio de Salud Metropolitano Sur,13402,Buin,Nutricionista,1.9314709733740725,Mujer
2023,comuna,13,Servicio de Salud Metropolitano Sur,13402,Buin,Otro profesional capacitado en EMP y EMPAM,17.688782191182888,Mujer
2023,comuna,13,Servicio de Salud Metropolitano Sur,13402,Buin,Tecnico en enfermeria,54.5176778699258,Mujer
2023,comuna,13,Servicio de Salud Metropolitano Sur,13403,Calera de Tango,Enfermera/o,10.15,Mujer
2023,comuna,13,Servicio de Salud Metropolitano Sur,13403,Calera de Tango,Matrona/on,0.4,Mujer
2023,comuna,13,Servicio de Salud Metropolitano Sur,13403,Calera de Tango,Nutricionista,12.4,Mujer
2023,comuna,13,Servicio de Salud Metropolitano Sur,13403,Calera de Tango,Otro profesional capacitado en EMP y EMPAM,27.700000000000003,Mujer
2023,comuna,13,Servicio de Salud Metropolitano Sur,13403,Calera de Tango,Tecnico en enfermeria,49.35,Mujer
2023,comuna,13,Servicio de Salud Metropolitano Sur,13404,Paine,Enfermera/o,9.642131583059852,Mujer
2023,comuna,13,Servicio de Salud Metropolitano Sur,13404,Paine,Matrona/on,0.875136740115643,Mujer
2023,comuna,13,Servicio de Salud Metropolitano Sur,13404,Paine,Medico/a,0.01562744178777934,Mujer
