Ano,nivel_geografico,IdServicio_master,servicio_salud_master,IdComuna_master,comuna_master,factor_riesgo,15_19_numerador,20_24_numerador,25_29_numerador,30_34_numerador,35_39_numerador,40_44_numerador,45_49_numerador,50_54_numerador,55_59_numerador,60_64_numerador,65_mas_numerador,total_15_mas_numerador,sexo,15_19,15_19_prevalencia_pct,20_24,20_24_prevalencia_pct,25_29,25_29_prevalencia_pct,30_34,30_34_prevalencia_pct,35_39,35_39_prevalencia_pct,40_44,40_44_prevalencia_pct,45_49,45_49_prevalencia_pct,50_54,50_54_prevalencia_pct,55_59,55_59_prevalencia_pct,60_64,60_64_prevalencia_pct,65_mas,65_mas_prevalencia_pct,total_15_mas,total_15_mas_prevalencia_pct
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13504,Maria Pinto,Tabaquismo,0,0,0,0,0,0,0,0,0,0,0,1502,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,364,24.234354194407455
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13505,San Pedro,Colesterol elevado,0,0,0,0,0,0,0,0,0,0,0,1189,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,144,12.111017661900757
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13505,San Pedro,Glicemia alterada,0,0,0,0,0,0,0,0,0,0,0,1189,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,130,10.933557611438182
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13505,San Pedro,Presion arterial elevada,0,0,0,0,0,0,0,0,0,0,0,1189,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,235,19.764507989907486
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13505,San Pedro,Tabaquismo,0,0,0,0,0,0,0,0,0,0,0,1189,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,152,12.7838519764508
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13601,Talagante,Colesterol elevado,0,0,0,0,0,0,0,0,0,0,0,4073,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,745,18.291185858089857
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13601,Talagante,Glicemia alterada,0,0,0,0,0,0,0,0,0,0,0,4073,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1838,45.12644242573042
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13601,Talagante,Presion arterial elevada,0,0,0,0,0,0,0,0,0,0,0,4073,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1055,25.902283329241342
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13601,Talagante,Tabaquismo,0,0,0,0,0,0,0,0,0,0,0,4073,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,999,24.52737539896882
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13602,El Monte,Colesterol elevado,0,0,0,0,0,0,0,0,0,0,0,2375,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,216,9.094736842105263
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13602,El Monte,Glicemia alterada,0,0,0,0,0,0,0,0,0,0,0,2375,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,618,26.021052631578947
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13602,El Monte,Presion arterial elevada,0,0,0,0,0,0,0,0,0,0,0,2375,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,541,22.77894736842105
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13602,El Monte,Tabaquismo,0,0,0,0,0,0,0,0,0,0,0,2375,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,789,33.22105263157894
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13603,Isla de Maipo,Colesterol elevado,0,0,0,0,0,0,0,0,0,0,0,2487,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,240,9.650180940892641
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13603,Isla de Maipo,Glicemia alterada,0,0,0,0,0,0,0,0,0,0,0,2487,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,766,30.800160836349015
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13603,Isla de Maipo,Presion arterial elevada,0,0,0,0,0,0,0,0,0,0,0,2487,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,641,25.7740249296341
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13603,Isla de Maipo,Tabaquismo,0,0,0,0,0,0,0,0,0,0,0,2487,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,594,23.88419782870929
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13604,Padre Hurtado,Colesterol elevado,0,0,0,0,0,0,0,0,0,0,0,3817,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,91,2.384071260151952
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13604,Padre Hurtado,Glicemia alterada,0,0,0,0,0,0,0,0,0,0,0,3817,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,282,7.388001047943411
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13604,Padre Hurtado,Presion arterial elevada,0,0,0,0,0,0,0,0,0,0,0,3817,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,940,24.62667015981137
